,itinerary,totalRate,totalTime,calcTime,nextDayDelivery,nextDayTime,thisDayTime,startDayTime,endDayTime,timeSegments,totalDistance,calcDistance,maintenanceCost,gasCost,driverPay,netRate,netRatePerHour
0,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': 'a5b0fab8-12fc-48fe-a186-cc1bd98676b0', 'phone': '(724) 241-8799', 'origin': 'Fort Payne, AL', 'destination': 'Acworth, GA', 'originCoords': [34.4442547, -85.7196893], 'destinationCoords': [34.0659329, -84.6768796], 'originDeadhead': 106.91728107809804, 'originalOriginDeadhead': 95.94, 'destinationDeadhead': 129.68, 'tripDistance': 89.7, 'postedRate': 900.0, 'rpm': 10.033444816053512, 'accountName': 'BEEMAC LOGISTICS LLC/BEEMAC INC', 'daysToPay': 31.0, 'realRPM': 2.7064634590207963, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 14:57:56.865613'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 422.7726470868156, 'netRate': 243.97620289983274, 'netRatePerHour': 70.96887288272926}]",900.0,14.4040438668865,11.045774636117269,True,3.867923076923077,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 106.91728107809804, 'duration': 7401.965613099095}, {'distance': 110.33099999999999, 'duration': 7638.299999999998}, {'distance': 149.132, 'duration': 10324.523076923077}]",366.38028107809805,366.38028107809805,65.94845059405765,174.3162290220772,497.0598586252771,162.67546175858797,59.727392792052335
1,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '6814f9e5-bdfe-432a-ae7d-065c4230add1', 'phone': '(205) 771-4386', 'origin': 'Decatur, AL', 'destination': 'Alpharetta, GA', 'originCoords': [34.6240205, -87.05791872812708], 'destinationCoords': [34.0709576, -84.2747329], 'originDeadhead': 194.81171261165176, 'originalOriginDeadhead': 84.07, 'destinationDeadhead': 155.75, 'tripDistance': 200.8, 'postedRate': 900.0, 'rpm': 4.48207171314741, 'accountName': 'Fetch Freight', 'daysToPay': 21.0, 'realRPM': 2.0707186656767496, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 16:25:40.095488'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 511.1235974523909, 'netRate': 84.01330127286468, 'netRatePerHour': 52.39664256575643}]",900.0,16.40835985791638,13.05009062714715,True,4.444471153846154,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 194.81171261165176, 'duration': 13486.964719268199}, {'distance': 96.68049999999998, 'duration': 6693.2653846153835}, {'distance': 179.11249999999998, 'duration': 12400.096153846152}]",470.60471261165173,470.60471261165173,84.7088482700973,214.91262510325288,587.2540782216217,13.124448405028033,46.00569787444435
2,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '20e8f941-908f-4c65-af27-ed77e0ccdae9', 'phone': '316-249-2075', 'origin': 'Opelika, AL', 'destination': 'Huntsville, AL', 'originCoords': [32.6454116, -85.3782795], 'destinationCoords': [34.729847, -86.5859011], 'originDeadhead': 128.6692973852706, 'originalOriginDeadhead': 97.42, 'destinationDeadhead': 91.32, 'tripDistance': 214.9, 'postedRate': 700.0, 'rpm': 3.257328990228013, 'accountName': 'GLOBAL FREIGHT TRANSIT LLC', 'daysToPay': 26.0, 'realRPM': 2.2053544296477927, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 15:24:45.235973'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 409.68112273725336, 'netRate': 67.67892723964968, 'netRatePerHour': 52.43395669645604}]",700.0,14.006736488178282,10.64846725740905,True,3.0195769230769227,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 128.6692973852706, 'duration': 8907.874434364889}, {'distance': 112.03299999999999, 'duration': 7756.130769230767}, {'distance': 105.01799999999999, 'duration': 7270.476923076922}]",345.72029738527056,345.72029738527056,62.229653529348695,160.1408864027666,479.1810265834073,-1.5515665155226088,44.85429203302071
3,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '53da5c9a-66f6-4e47-bddf-05a7e61d8b00', 'phone': '(833) 387-7403', 'origin': 'Prattville, AL', 'destination': 'Stonecrest, GA', 'originCoords': [32.4640245, -86.4596966], 'destinationCoords': [33.6831296, -84.1358505], 'originDeadhead': 189.9951937320936, 'originalOriginDeadhead': 69.05, 'destinationDeadhead': 155.25, 'tripDistance': 181.701, 'postedRate': 850.0, 'rpm': 4.678014980655032, 'accountName': 'BLUE-GRACE LOGISTICS LLC', 'daysToPay': 28.0, 'realRPM': 2.051677192638777, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 16:02:46.798028'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 493.52468688354253, 'netRate': 65.87682722723179, 'netRatePerHour': 51.006705042345644}]",850.0,15.972503725617186,12.614234494847954,True,4.4334134615384615,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 189.9951937320936, 'duration': 13153.513412221866}, {'distance': 79.40749999999998, 'duration': 5497.442307692307}, {'distance': 178.5375, 'duration': 12360.288461538461}]",447.9401937320936,447.9401937320936,80.62923487177684,203.848138569357,567.640552268158,-2.1179257092917396,44.83210033790344
4,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '227cf2c3-1392-4130-9688-b39812eab190', 'phone': '(786) 600-0064', 'origin': 'Birmingham, AL', 'destination': 'Robertsdale, AL', 'originCoords': [33.5206824, -86.8024326], 'destinationCoords': [30.5552959, -87.7109526], 'originDeadhead': 174.65054948676448, 'originalOriginDeadhead': 7.58, 'destinationDeadhead': 203.96, 'tripDistance': 255.1, 'postedRate': 800.0, 'rpm': 3.1360250882007055, 'accountName': 'ARMSTRONG TRANSPORT GROUP / AMERICAN TRANSPORT SERVICES', 'daysToPay': 27.0, 'realRPM': 2.0715162529564117, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 14:34:08.861118'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 469.20336013277694, 'netRate': 59.91155444150678, 'netRatePerHour': 50.745951923926704}]",800.0,15.395222105514701,12.03695287474547,True,5.510653846153846,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 174.65054948676448, 'duration': 12091.191887545232}, {'distance': 8.716999999999999, 'duration': 603.4846153846153}, {'distance': 234.554, 'duration': 16238.353846153846}]",417.92154948676443,417.92154948676443,75.2258789076176,190.595900562669,541.6628793635462,-7.484658833832782,44.37819322616638
5,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '3dcda6b1-12af-4c07-abe7-fbe8da6b4bd9', 'phone': '(254) 253-1455', 'origin': 'Alpine, AL', 'destination': 'Jasper, GA', 'originCoords': [33.334864, -86.240712], 'destinationCoords': [33.3254635, -83.6868559], 'originDeadhead': 142.722255216053, 'originalOriginDeadhead': 33.65, 'destinationDeadhead': 156.48, 'tripDistance': 159.9, 'postedRate': 700.0, 'rpm': 4.377736085053158, 'accountName': 'ARMSTRONG TRANSPORT GROUP, LLC', 'daysToPay': 27.0, 'realRPM': 2.1030351726042325, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 14:27:23.286900'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 423.04522086004584, 'netRate': 43.48269726697981, 'netRatePerHour': 49.62532438739315}]",700.0,14.307726061847172,10.94945683107794,True,4.460615384615384,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 142.722255216053, 'duration': 9880.771514957514}, {'distance': 38.6975, 'duration': 2679.0576923076924}, {'distance': 179.95199999999997, 'duration': 12458.215384615383}]",361.371755216053,361.371755216053,65.04691593888953,166.10371958243076,492.7255573985073,-23.87619291982753,42.81941759411667
6,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '6a91eded-0024-427d-a1c8-a459966c61ab', 'phone': '(319) 726-3803', 'origin': 'Opelika, AL', 'destination': 'Huntsville, AL', 'originCoords': [32.6454116, -85.3782795], 'destinationCoords': [34.729847, -86.5859011], 'originDeadhead': 128.6692973852706, 'originalOriginDeadhead': 97.42, 'destinationDeadhead': 91.32, 'tripDistance': 214.9, 'postedRate': 675.0, 'rpm': 3.140995812005584, 'accountName': 'BIERI BROKERAGE INC', 'daysToPay': 17.0, 'realRPM': 2.1265917714460856, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 15:24:45.235973'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 409.68112273725336, 'netRate': 42.67892723964968, 'netRatePerHour': 49.68791852783505}]",675.0,14.006736488178282,10.64846725740905,True,3.0195769230769227,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 128.6692973852706, 'duration': 8907.874434364889}, {'distance': 112.03299999999999, 'duration': 7756.130769230767}, {'distance': 105.01799999999999, 'duration': 7270.476923076922}]",345.72029738527056,345.72029738527056,62.229653529348695,160.1408864027666,479.1810265834073,-26.55156651552261,42.506536304833126
7,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '86e8380f-5c2d-45e1-84d5-de1bf7e1c467', 'phone': '(763) 432-3680', 'origin': 'Opelika, AL', 'destination': 'Huntsville, AL', 'originCoords': [32.6454116, -85.3782795], 'destinationCoords': [34.729847, -86.5859011], 'originDeadhead': 128.6692973852706, 'originalOriginDeadhead': 97.42, 'destinationDeadhead': 91.32, 'tripDistance': 214.9, 'postedRate': 675.0, 'rpm': 3.140995812005584, 'accountName': 'FUZE LOGISTICS SERVICES USA INC / FUZE TRANSPORT USA INC', 'daysToPay': 26.0, 'realRPM': 2.1265917714460856, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 15:24:45.235973'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 409.68112273725336, 'netRate': 42.67892723964968, 'netRatePerHour': 49.68791852783505}]",675.0,14.006736488178282,10.64846725740905,True,3.0195769230769227,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 128.6692973852706, 'duration': 8907.874434364889}, {'distance': 112.03299999999999, 'duration': 7756.130769230767}, {'distance': 105.01799999999999, 'duration': 7270.476923076922}]",345.72029738527056,345.72029738527056,62.229653529348695,160.1408864027666,479.1810265834073,-26.55156651552261,42.506536304833126
8,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '3843b20f-7c23-4c67-a013-3f7e76760f49', 'phone': '(888) 663-0785', 'origin': 'Decatur, AL', 'destination': 'Alpharetta, GA', 'originCoords': [34.6240205, -87.05791872812708], 'destinationCoords': [34.0709576, -84.2747329], 'originDeadhead': 194.81171261165176, 'originalOriginDeadhead': 82.85, 'destinationDeadhead': 153.45, 'tripDistance': 199.556, 'postedRate': 850.0, 'rpm': 4.259455992302912, 'accountName': 'Reibus International', 'daysToPay': 23.0, 'realRPM': 1.9716467336290757, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 16:24:15.633950'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 508.07744360623707, 'netRate': 39.52848369044722, 'netRatePerHour': 48.501005188194675}]",850.0,16.330513704070228,12.972244473300997,True,4.393605769230769,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 194.81171261165176, 'duration': 13486.964719268199}, {'distance': 95.27749999999999, 'duration': 6596.134615384614}, {'distance': 176.46749999999997, 'duration': 12216.980769230768}]",466.55671261165173,466.55671261165173,83.98020827009731,212.80188224611004,583.7510012985448,-30.533091814752197,42.64627533210661
9,"[{'id': nan, 'phone': nan, 'origin': 'Hoover, AL', 'destination': 'Norcross, GA', 'originCoords': [33.4124, -86.84326], 'destinationCoords': [33.9412127, -84.2135309], 'originDeadhead': nan, 'tripDistance': 174.63, 'postedRate': nan, 'rpm': nan, 'accountName': nan, 'daysToPay': nan, 'realRPM': nan, 'startTime': datetime.datetime(2023, 12, 5, 5, 0), 'endTime': datetime.datetime(2023, 12, 5, 9, 3, 52, 900000), 'loadTime': nan, 'unloadTime': 1.0, 'nextDayDelivery': False}, {'id': '1533a6b7-6414-4b17-835c-eb2295cc4e34', 'phone': '(316) 413-6636', 'origin': 'Decatur, AL', 'destination': 'Tucker, GA', 'originCoords': [34.6240205, -87.05791872812708], 'destinationCoords': [33.850461, -84.21506], 'originDeadhead': 194.81171261165176, 'originalOriginDeadhead': 84.07, 'destinationDeadhead': 154.86, 'tripDistance': 254.242, 'postedRate': 850.0, 'rpm': 3.343271371370584, 'accountName': 'KING OF FREIGHT LLC', 'daysToPay': 27.0, 'realRPM': 1.959691621269183, 'startTime': Timestamp('2023-12-05 09:03:52.900000'), 'endTime': Timestamp('2023-12-05 16:25:40.095488'), 'loadTime': 2.0, 'unloadTime': 1.0, 'nextDayDelivery': True, 'driverPay': 510.3534051446987, 'netRate': 35.407765009128354, 'netRatePerHour': 48.122051130351565}]",850.0,16.388677165608687,13.030407934839456,True,4.424788461538462,3.3582692307692312,2023-12-05 05:00:00,2023-12-05 08:21:29.769231,"[{'distance': 174.63, 'duration': 12089.76923076923}, {'distance': 194.81171261165176, 'duration': 13486.964719268199}, {'distance': 96.68049999999998, 'duration': 6693.2653846153835}, {'distance': 178.089, 'duration': 12329.238461538462}]",469.5812126116517,469.5812126116517,84.5246182700973,214.37894296039573,586.3683570677755,-35.27191829826859,42.293107132589306
